Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
First Baptist Church of Springville,Erie,12/05/2008,08NR05917,-78.6668657995,42.5094665503,POINT (-78.6668657995 42.5094665503)
First Presbyterian Church,Monroe,06/25/1999,99NR01464,-77.9372902757,43.2145621743,POINT (-77.9372902757 43.2145621743)
First Baptist Church,Ontario,10/10/2002,02NR01917,-76.9873044462,42.8711868795,POINT (-76.9873044462 42.8711868795)
First Baptist Church,Monroe,10/20/2011,10NR06194,-77.9394809316,43.2139768391,POINT (-77.9394809316 43.2139768391)
United Methodist Church and Parsonage,Westchester,11/04/1982,90NR02542,-73.7263583054,41.2002730157,POINT (-73.7263583054 41.2002730157)
Otter Lake Community Church,Oneida,07/09/2004,03NR05166,-75.1128862764,43.5893832667,POINT (-75.1128862764 43.5893832667)
Bay Ridge United Methodist Church,Kings,09/09/1999,99NR01471,-74.0245673123,40.6336279738,POINT (-74.0245673123 40.6336279738)
East Genoa Methodist Episcopal Church,Cayuga,01/24/2002,01NR01824,-76.504439538,42.6456032786,POINT (-76.504439538 42.6456032786)
St. James Church and Rectory,Sullivan,11/04/1993,93NR00461,-75.052790794,41.7652584396,POINT (-75.052790794 41.7652584396)
St. Ann's Church Complex,Bronx,04/16/1980,90NR00036,-73.917349374,40.8084498649,POINT (-73.917349374 40.8084498649)
St. Paul's Memorial Church and Rectory,Richmond,11/21/1980,90NR01043,-74.0788845532,40.6320695635,POINT (-74.0788845532 40.6320695635)
Lordville Presbyterian Church,Delaware,02/04/2000,00NR01585,-75.2156618777,41.8694930356,POINT (-75.2156618777 41.8694930356)
East Hounsfield Church,Jefferson,10/18/1989,90NR01138,-75.9922415681,43.9689543482,POINT (-75.9922415681 43.9689543482)
Olivet Chapel (St. John's AUMP Church),Orange,06/09/2010,10NR06099,-74.327945467,41.4012051812,POINT (-74.327945467 41.4012051812)
First Presbyterian Church,Schuyler,05/25/2001,01NR01756,-76.8738162214,42.4998582825,POINT (-76.8738162214 42.4998582825)
Congregational Church,St. Lawrence,12/08/2005,05NR05493,-75.3185171577,44.5903692979,POINT (-75.3185171577 44.5903692979)
First African Methodist Episcopal Church: Bethel,New York,11/09/2018,17NR00116,-73.9408967086,40.8113422526,POINT (-73.9408967086 40.8113422526)
First Presbyterian Church,Monroe,10/25/1973,90NR01522,-77.6149752953,43.1528614889,POINT (-77.6149752953 43.1528614889)
St. Vincent of Paul Catholic Church,Jefferson,09/27/1985,90NR01180,-76.3398224421,44.1244194492,POINT (-76.3398224421 44.1244194492)
St. StephenΓÇÖs Roman Catholic Church Complex,Erie,07/27/2018,16NR00077,-78.8471228709,42.868079256,POINT (-78.8471228709 42.868079256)
Centre Presbyterian Church,Greene,09/07/1979,90NR00547,-74.2522187462,42.3068530747,POINT (-74.2522187462 42.3068530747)
Zion Lutheran Church,Greene,11/28/1980,90NR00559,-73.8053164558,42.2683918005,POINT (-73.8053164558 42.2683918005)
Emmanuel Church of the Evangelical Association,Broome,11/20/2009,09NR06036,-75.9173623619,42.0973893704,POINT (-75.9173623619 42.0973893704)
Trinity Episcopal Church and Parish House,Jefferson,06/30/2000,99NR01473,-75.9149310905,43.9735687327,POINT (-75.9149310905 43.9735687327)
Church of the Immaculate Conception and Clergy Houses,New York,03/28/1980,90NR00641,-73.982152695,40.7306986233,POINT (-73.982152695 40.7306986233)
First Presbyterian Church,Suffolk,12/23/1977,90NR01884,-73.1880852458,40.8568791095,POINT (-73.1880852458 40.8568791095)
University Presbyterian Church,Erie,11/24/2015,15NR00028,-78.8225293493,42.9547424411,POINT (-78.8225293493 42.9547424411)
Trinity Episcopal Church Complex,Ulster,08/06/1998,98NR01371,-73.9488625023,42.0684015788,POINT (-73.9488625023 42.0684015788)
First Unitarian Church of Buffalo,Erie,06/30/2015,15NR00011,-78.8766267707,42.9159254027,POINT (-78.8766267707 42.9159254027)
Sand Lake Baptist Church,Rensselaer,01/02/2004,02NR05029,-73.5491395645,42.6364759649,POINT (-73.5491395645 42.6364759649)
Livonia Baptist Church,Livingston,03/25/1977,90NR01380,-77.6655682342,42.820318424,POINT (-77.6655682342 42.820318424)
First Congregational Church of Fairport,Monroe,08/28/2018,17NR00079,-77.4400648904,43.0978630229,POINT (-77.4400648904 43.0978630229)
Grace Church,Monroe,07/30/2010,10NR06116,-77.7515325773,43.0227721365,POINT (-77.7515325773 43.0227721365)
Saint Luke's Episcopal Church,Monroe,04/26/1990,91NR03316,-77.9384119364,43.2142031551,POINT (-77.9384119364 43.2142031551)
Livingstonville Community Church,Schoharie,01/09/2008,07NR05787,-74.2682462701,42.4881697411,POINT (-74.2682462701 42.4881697411)
Hopewell Presbyterian Church,Orange,01/07/1998,97NR01265,-74.3347879786,41.5702713753,POINT (-74.3347879786 41.5702713753)
All Souls Church,Greene,11/24/1993,94NR00732,-74.1339574507,42.2245456783,POINT (-74.1339574507 42.2245456783)
Hellenic Orthodox Church of the Annunciation,Erie,11/13/2002,02NR04945,-78.8716294248,42.9110209129,POINT (-78.8716294248 42.9110209129)
Trinity Church,Oswego,10/29/1982,90NR02136,-76.0076512316,43.2481424997,POINT (-76.0076512316 43.2481424997)
Bay Ridge Reformed Church,Kings,08/17/2020,19NR00103,-74.03154285,40.6285873399,POINT (-74.03154285 40.6285873399)
Marble Collegiate Reformed Church,New York,04/09/1980,90NR00653,-73.9870947038,40.7456649831,POINT (-73.9870947038 40.7456649831)
Copake Falls Methodist Episcopal Church,Columbia,07/11/2012,12NR06314,-73.5241008836,42.1195378566,POINT (-73.5241008836 42.1195378566)
Zion Episcopal Church,Wayne,11/29/1996,96NR01089,-77.2328021781,43.063167881,POINT (-77.2328021781 43.063167881)
St. James Episcopal Church,Warren,12/11/2013,13NR06477,-73.7140413878,43.4253163598,POINT (-73.7140413878 43.4253163598)
St. Peter's Roman Catholic Church,New York,04/23/1980,90NR00682,-74.0095554803,40.7123748548,POINT (-74.0095554803 40.7123748548)
First Unitarian Universalist Church of Niagara,Niagara,01/25/2007,06NR05650,-79.0565195447,43.0937431851,POINT (-79.0565195447 43.0937431851)
Vernon Methodist Church,Oneida,05/20/1998,97NR01289,-75.5409219659,43.0785721493,POINT (-75.5409219659 43.0785721493)
Baker Memorial Methodist Episcopal Church,Erie,11/28/2012,12NR06382,-78.6217890311,42.7676404166,POINT (-78.6217890311 42.7676404166)
Christ Episcopal Church,Chemung,08/02/2000,00NR01637,-76.7273156914,42.0150982042,POINT (-76.7273156914 42.0150982042)
Foster Memorial A.M.E. Zion Church,Westchester,06/03/1982,90NR02522,-73.8618940565,41.0797865142,POINT (-73.8618940565 41.0797865142)
Calvary Episcopal Church,Saratoga,01/17/2017,16NR00058,-73.8916596589,42.9098342327,POINT (-73.8916596589 42.9098342327)
New Utrecht Reformed Church Complex (Boundary Increase),Kings,03/05/2001,98NR01291,-74.0059889674,40.6107809907,POINT (-74.0059889674 40.6107809907)
Cedar Lake Methodist Episcopal Church,Herkimer,08/17/2020,20NR00027,-75.1800114208,42.9583325358,POINT (-75.1800114208 42.9583325358)
Newtonville United Methodist Church,Albany,05/30/2001,01NR01788,-73.7597387752,42.7245098034,POINT (-73.7597387752 42.7245098034)
