the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.94058818878288 40.80780956518901, -73.94052550702557 40.80778308613613, -73.9404603670962 40.807755569306025, -73.94042583235283 40.80774098050293, -73.94060849152038 40.80749455253918, -73.94111580941738 40.80770736188877, -73.94093233041299 40.807954936561416, -73.94058818878288 40.80780956518901)))",499,MN,1752,1,2067 Fifth Avenue,1017520001,Saint Andrew's Church,LP-00294,"Borough of Manhattan Tax Map Block 1752, Lot 1.",Designated,,04/12/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0294.pdf,527.410843661,16568.3751778
"MULTIPOLYGON (((-73.94681275030064 40.79232085951427, -73.94699249798416 40.79207381348338, -73.94709873063118 40.792118703611514, -73.94731197809726 40.79220881531471, -73.94746696598583 40.792274307416186, -73.94741385753667 40.79234730927932, -73.94725427333691 40.79227899373606, -73.94712715225744 40.79245371721842, -73.94681275030064 40.79232085951427)))",507,MN,1633,61,120 East 106th Street,1016330061,Saint Cecilia's Church,LP-00933,"Borough of Manhattan Tax Map Block 1633, Lot 61.",Designated,,09/14/1976,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0933.pdf,506.63055542,11779.0533359
"MULTIPOLYGON (((-73.97615490791793 40.760946793790566, -73.97576100895435 40.760780161463614, -73.9759214903373 40.760554876257565, -73.97674811460276 40.76090456251551, -73.9765876351729 40.76112984976202, -73.97615490791793 40.760946793790566)))",512,MN,1269,30,Fifth Avenue at West 53rd Street,1012690030,Saint Thomas Church and Parish House,LP-00260,"Borough of Manhattan Tax Map Block 1269, Lot 30.",Designated,,10/19/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0260.pdf,710.79701751,24459.96781
"MULTIPOLYGON (((-73.94155752970556 40.81600775446328, -73.94173274590946 40.815768271302986, -73.94177402101721 40.815785578996575, -73.94182082106327 40.81580520284028, -73.94186910455868 40.81582544965628, -73.94190337385736 40.815778610464285, -73.94206478501633 40.8158462928979, -73.94203066294571 40.81589293140049, -73.94185530033529 40.81613261574529, -73.94155752970556 40.81600775446328)))",514,MN,1921,51,140 West 137th Street,1019210051,Mother African Methodist Episcopal Zion Church,LP-01849,"Borough of Manhattan Tax Map Block 1921, Lot 51.",Designated,,07/13/1993,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1849.pdf,426.98627895,10394.2162859
"MULTIPOLYGON (((-73.96456597120667 40.79208320242757, -73.96475210655561 40.79182210358538, -73.96523806434854 40.792025662505345, -73.96505192915147 40.792286762123645, -73.96456597120667 40.79208320242757)))",516,MN,1832,29,1 West 96th Street,1018320029,"First Church of Christ, Scientist",LP-00833,"Borough of Manhattan Tax Map Block 1832, Lot 29",Designated,,07/23/1974,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0833.pdf,523.675727592,16622.8530717
"MULTIPOLYGON (((-73.97710676450434 40.78904033621096, -73.97711199668696 40.789033126040195, -73.97696358671179 40.78897053058023, -73.97714284850824 40.7887235436009, -73.97762873079978 40.788929190847, -73.97744463400412 40.789182841333144, -73.97710676450434 40.78904033621096)))",535,MN,1234,7502,540 West End Avenue,1012347502,Saint Paul's Methodist Episcopal Church and Parish House,LP-01126,"Borough of Manhattan Tax Map Block 1234, Lot 1.",Designated,now the Church of Saint Paul and Saint Andrew,11/24/1981,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1126.pdf,519.312431436,16129.9336732
"MULTIPOLYGON (((-73.95612488645743 40.8147634141242, -73.95633200617179 40.814997110523905, -73.95600707947246 40.815160745101146, -73.95581540190216 40.81506281478724, -73.95572612973902 40.81496209055763, -73.95612488645743 40.8147634141242)))",552,MN,1983,11,517-523 West 126th Street,1019830011,"St. Mary's Protestant Episcopal Church, Parish House, and Sunday School",LP-01981,"Borough of Manhattan Tax Map Block 1983, Lot 11.",Designated,,05/19/1998,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1981.pdf,450.72679493,12879.5966689
"MULTIPOLYGON (((-73.94623502928582 40.80547354546496, -73.9463314592356 40.80534248231023, -73.9463820335895 40.80536373689841, -73.94628590268016 40.805494393208946, -73.94623502928582 40.80547354546496)))",560,MN,1720,66,18 West 122nd Street,1017200066,Rectory of Saint Martin's Episcopal Church,LP-00292,Borough of Manhattan Tax Map Block 1720 Lot 66.,Designated,,07/19/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0292.pdf,141.245078479,873.934122968
"MULTIPOLYGON (((-73.95342278499693 40.80850976796175, -73.95360207285286 40.80825962065531, -73.95368205837526 40.80829321708402, -73.95375612354455 40.80832433201117, -73.95357683490685 40.808574481355095, -73.95342278499693 40.80850976796175)))",616,MN,1948,41,308 West 122nd Street,1019480041,Mount Olive Fire Baptized Holiness Church,LP-02320,"Borough of Manhattan Tax Map Block 1948, Lot 41.",Designated,formerly the Second Reformed Presbyterian Church,06/23/2009,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2320.pdf,305.010659755,5056.84635461
"MULTIPOLYGON (((-73.9449611671309 40.814870621180766, -73.94514163122945 40.814626086220215, -73.94510221147732 40.81460950281118, -73.9452866636028 40.81435956472805, -73.94560559204136 40.81449426612997, -73.94542144331817 40.81474379333386, -73.94537491907943 40.81472422240741, -73.94519445557044 40.81496875953019, -73.9449611671309 40.814870621180766)))",620,MN,1939,40,214 West 134th Street,1019390040,Saint Philip's Protestant Episcopal Church,LP-01846,"Borough of Manhattan Tax Map Block 1939, Lot 40.",Designated,,07/13/1993,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1846.pdf,614.919301567,18075.2841347
"MULTIPOLYGON (((-73.94918294860919 40.77841351315271, -73.94928528321607 40.778272399089985, -73.94936078246168 40.77830427495638, -73.94925844915048 40.778445389085974, -73.94918294860919 40.77841351315271)))",626,MN,1550,34,332 East 88th Street,1015500034,Parsonage of the Church of the Holy Trinity,LP-00447,"Borough of Manhattan Tax Map Block 1550, Lot 34.",Designated,,02/15/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0447.pdf,165.25152748,1404.18907674
"MULTIPOLYGON (((-73.94804869150488 40.82332054830154, -73.94823082466357 40.82307258410589, -73.94846948790997 40.82317405353109, -73.94828735773655 40.82342201449863, -73.94804869150488 40.82332054830154)))",653,MN,2058,33,467 West 142nd Street,1020580033,Our Lady of Lourdes Roman Catholic Church,LP-00892,"Borough of Manhattan Tax Map Block 2058, Lot 33.",Designated,,07/22/1975,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0892.pdf,358.299259792,7831.02269821
"MULTIPOLYGON (((-73.97256290741315 40.75731257622804, -73.97273953376569 40.75706930799292, -73.97282019204134 40.7571033256215, -73.97299861674772 40.756857571111745, -73.97370939216253 40.7571573398695, -73.97335435440016 40.75764637031136, -73.97256290741315 40.75731257622804)))",684,MN,1305,1,Park Avenue at East 50th Street,1013050001,Saint Bartholomew's Church and Community House,LP-00275,"Borough of Manhattan Tax Map Block 1305, Lot 1.",Designated,,03/16/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0275.pdf,908.492974757,48414.1574219
