the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.99217215060945 40.72924925908224, -73.99222553501387 40.72918605239852, -73.99265552825659 40.72939803153275, -73.99264275760909 40.72941304129492, -73.99260186947731 40.7294611051211, -73.99236812600417 40.72934586619209, -73.99217215060945 40.72924925908224)))",140,MN,545,38,432 Lafayette Street,1005450038,432 Lafayette Street Building,LP-00012,"Borough of Manhattan Tax Map Block 545, Lot 38.",Designated,"a part of La Grange Terrace, also known as Colonnade Row",10/14/1965,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0012.pdf,338.679201706,3885.77903963
"MULTIPOLYGON (((-73.98986411708765 40.74045709390936, -73.9899319820197 40.74029657004491, -73.98994980965828 40.74030452398123, -73.990213945438 40.740422541988494, -73.99010927968162 40.74056618375505, -73.98986411708765 40.74045709390936)))",148,MN,850,4,153-157 Fifth Avenue,1008500004,Scribner Building,LP-00935,"Borough of Manhattan Tax Map Block 850, Lot 4.",Designated,now the United Synagogue of America,09/14/1976,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0935.pdf,290.593718075,5070.63915777
"MULTIPOLYGON (((-73.99341622533068 40.738031607392024, -73.99358335733517 40.73780240794717, -73.9936896117937 40.73784711321085, -73.99352245991368 40.73807634072302, -73.99341622533068 40.738031607392024)))",150,MN,818,33,9 West 16th Street,1008180033,9 West 16th Street Building,LP-01583,"Borough of Manhattan Tax Map Block 818, Lot 33.",Designated,,05/01/1990,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1583.pdf,258.290365497,3213.41750841
"MULTIPOLYGON (((-73.98799980932137 40.76054758782911, -73.98804738828504 40.76048149753859, -73.98809064579139 40.76042140774392, -73.98813389374243 40.760361334140526, -73.98814639937413 40.76034396019126, -73.98821207118009 40.760393961145304, -73.98807788740632 40.76058035449189, -73.98799980932137 40.76054758782911)))",152,MN,1037,37,304 West 47th Street,1010370037,Fire Engine Company No. 54,LP-02299,"Borough of Manhattan Tax Map Block 1037, Lot 37.",Designated,,11/18/2008,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2299.pdf,212.444632576,2001.05243016
"MULTIPOLYGON (((-74.00619644867322 40.71149789578938, -74.0064351131196 40.71172271591045, -74.00610091663626 40.71180400159653, -74.00595524576849 40.71166535038591, -74.00619644867322 40.71149789578938)))",155,MN,101,2,41 Park Row,1001010002,New York Times Building,LP-02031,"Borough of Manhattan Tax Map Block 101, Lot 2.",Designated,,03/16/1999,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2031.pdf,357.75432473,7695.01832219
"MULTIPOLYGON (((-74.00686689917869 40.71776959728385, -74.00705739191275 40.71753172234941, -74.00713589565764 40.717567969342184, -74.0070007970098 40.717736673778234, -74.00698665565729 40.71775433183727, -74.00694584686717 40.71780528966439, -74.00686689917869 40.71776959728385)))",159,MN,176,11,39 Worth Street,1001760011,39 Worth Street Building,LP-02539,"Borough of Manhattan Tax Map Block 176, Lot 11",Designated,,10/29/2013,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2539.pdf,253.646552152,2580.34516342
"MULTIPOLYGON (((-74.00703388965964 40.71348559159323, -74.00728880235525 40.71318057192081, -74.00778853863724 40.713407856869374, -74.00759210627156 40.71365573460632, -74.00742389509745 40.71357957229494, -74.00737561084082 40.713640494933266, -74.00703388965964 40.71348559159323)))",160,MN,134,7501,256-257 and 253 Broadway,1001347501,Home Life Insurance Company Building,LP-01751,"Borough of Manhattan Tax Map Block 134, Lots 1001 and 1002",Designated,inforporating the Postal Telegraph Building,11/12/1991,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1751.pdf,589.005576491,20026.6146657
"MULTIPOLYGON (((-73.99828846816696 40.712785849422346, -73.99825780178303 40.712733136674466, -73.99823065125054 40.712688068406585, -73.99824193777995 40.71268644585939, -73.99822649528207 40.71263306965768, -73.9983917905805 40.71261084208068, -73.998418852355 40.71265917015815, -73.99850129819816 40.71280788698331, -73.99837533058107 40.71293115436627, -73.99834504965277 40.71288698118986, -73.9983494982651 40.712885345026, -73.9982894551634 40.712785680141, -73.99828846816696 40.712785849422346)))",162,MN,279,17,55-57 Saint James Place,1002790017,Shearith Israel Graveyard,LP-00091,"Borough of Manhattan Tax Map Block 279, Lot 17.",Designated,,02/01/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0091.pdf,303.276907341,4909.48192712
"MULTIPOLYGON (((-73.98885182820003 40.73703569265614, -73.98910502399997 40.736684711614046, -73.98952357184274 40.7368609969092, -73.98932744723078 40.73713286916943, -73.98916988762156 40.73706665454288, -73.98911303690468 40.73714546160914, -73.98885182820003 40.73703569265614)))",163,MN,846,33,200 Park Avenue South,1008460033,Everett Building,LP-01540,"Borough of Manhattan Tax Map Block 846, Lot 33.",Designated,,09/06/1988,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1540.pdf,556.765279238,17696.6903219
"MULTIPOLYGON (((-73.98349422908623 40.75017798939071, -73.98388146057717 40.75034056123952, -73.98392851060727 40.75027440854278, -73.98393762779126 40.750261588410844, -73.98395484892312 40.75026881827176, -73.98400967241223 40.750291834723, -73.98383470781802 40.75053783842639, -73.98337522591494 40.75034530969491, -73.98349422908623 40.75017798939071)))",164,MN,838,48,402-404 Fifth Avenue,1008380048,Stewart & Company Building,LP-02185,"Borough of Manhattan Tax Map Block 838, Lot 48.",Designated,,04/18/2006,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2185.pdf,494.624635525,10810.7386259
