Property Name,County,DesDate,National Register Number,Longitude,Latitude,Georeference,Type
First Methodist Episcopal Church of Parksville,Sullivan,5/30/01,01NR01775,-74.75856355,41.85532219,POINT (-74.7585635534 41.8553221891),church
St. Casimir's Church Complex,Albany,1/16/18,17NR00081,-73.76383197,42.66026788,POINT (-73.7638319695 42.660267883),church
Evangelical Lutheran Church,Otsego,10/29/21,21NR00019,-74.96464952,42.64449309,POINT (-74.9646495167 42.6444930935),church
Richmondville United Methodist Church,Schoharie,7/14/06,06NR05576,-74.56516358,42.63442545,POINT (-74.5651635787 42.634425445),church
St. John's Episcopal Church,Livingston,7/19/91,91NR03321,-77.87625717,42.72483182,POINT (-77.8762571695 42.7248318239),church
Flatlands Dutch Reformed Church,Kings,8/30/79,90NR01297,-73.93651474,40.62384257,POINT (-73.9365147401 40.6238425722),church
Reformed Dutch Church of Prattsville,Greene,12/6/96,96NR01067,-74.43532659,42.3170044,POINT (-74.4353265924 42.3170044016),church
St. Paul's Episcopal Church,Dutchess,11/26/82,90NR00424,-73.92185381,41.70658893,POINT (-73.9218538125 41.7065889291),church
German United Evangelical Church,Monroe,3/12/92,91NR00159,-77.60920148,43.1610943,POINT (-77.6092014771 43.161094302),church
St. James Episcopal Church,Schuyler,11/21/12,12NR06331,-76.87125706,42.38004245,POINT (-76.8712570586 42.3800424519),church
Riverdale Presbyterian Church Complex,Bronx,10/14/82,90NR00064,-73.90894653,40.89587001,POINT (-73.9089465256 40.8958700101),church
St. Peter's Episcopal Church Complex,Cayuga,1/24/02,01NR01826,-76.57113279,42.92988562,POINT (-76.5711327851 42.929885624),church
St. Ignatius of Antioch Episcopal Church,New York,11/30/99,99NR01495,-73.97718598,40.78924599,POINT (-73.9771859808 40.7892459925),church
Grace Episcopal Church,Onondaga,3/20/73,90NR02103,-76.13488987,43.04569376,POINT (-76.1348898688 43.0456937629),church
"Holy Trinity Church, St. Christopher House and Parsonage",New York,5/30/80,90NR00732,-73.94972702,40.77847937,POINT (-73.9497270167 40.7784793712),church
Mother of Sorrows Roman Catholic Church,Monroe,11/30/89,93NR00444,-77.65862542,43.25230611,POINT (-77.6586254249 43.2523061125),church
First English Lutheran Church,Onondaga,3/4/98,97NR01288,-76.1457971,43.05421209,POINT (-76.1457971043 43.0542120859),church
Reformed Church of Shawangunk Complex,Ulster,6/3/82,90NR01083,-74.21392483,41.65387626,POINT (-74.2139248305 41.653876261),church
St. Mark's Episcopal Church,Dutchess,8/25/87,90NR00362,-73.96771869,41.55204976,POINT (-73.9677186881 41.552049756),church
First Hungarian Reformed Church,New York,8/31/00,00NR01655,-73.95852867,40.76613497,POINT (-73.9585286685 40.7661349701),church
First Methodist Episcopal Church of St. Johnsville,Montgomery,2/5/13,12NR06395,-74.67844163,42.99926847,POINT (-74.6784416292 42.9992684695),church
Presbyterian Church of McGraw,Cortland,9/11/86,90NR00272,-76.09554388,42.59597289,POINT (-76.0955438822 42.5959728874),church
United Congregational Church of Irondequoit,Monroe,8/2/02,02NR01928,-77.59934664,43.21102309,POINT (-77.5993466386 43.2110230917),church
Pike Baptist Church,Wyoming,6/27/12,12NR06321,-78.15628366,42.55473197,POINT (-78.1562836607 42.5547319734),church
Manlius Village and Christ Episcopal Church Cemeteries,Onondaga,1/25/07,05NR05499,-75.96977988,43.00237727,POINT (-75.9697798834 43.0023772701),church
Narrowsburg Methodist Church,Sullivan,2/4/00,00NR01589,-75.0622519,41.60530974,POINT (-75.0622519027 41.6053097401),church
Macedonia Baptist Church,Erie,2/12/74,90NR01209,-78.86725782,42.88631546,POINT (-78.8672578192 42.8863154562),church
St. Mark's Episocpal Church,Rensselaer,7/27/00,00NR01580,-73.35014214,42.89994226,POINT (-73.3501421423 42.8999422617),church
St. John the Baptist R. C. Church and Rectory,Clinton,11/12/82,90NR00191,-73.4543998,44.69564171,POINT (-73.4543997968 44.6956417108),church
North Hillsdale Methodist Church,Columbia,10/1/10,10NR06138,-73.50805717,42.23735128,POINT (-73.5080571676 42.2373512801),church
