Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Hammondsport Central High School,Steuben,,13NR06455,-77.2274884374,42.4082731009,POINT (-77.2274884374 42.4082731009)
Rowena Memorial School,Greene,08/22/2002,02NR01924,-74.0195516013,42.1753633675,POINT (-74.0195516013 42.1753633675)
Common School District School 32,Delaware,03/27/2017,16NR00099,-75.2791420791,42.2058043278,POINT (-75.2791420791 42.2058043278)
Bruynswyck School No. 8,Ulster,11/02/2000,00NR01649,-74.2260104283,41.6596191788,POINT (-74.2260104283 41.6596191788)
Octagonal Schoolhouse,Essex,01/17/1973,90NR00464,-73.4011805001,44.3042663949,POINT (-73.4011805001 44.3042663949)
Coeymans School (Acton Civill Polytechnic Institute),Albany,12/29/1970,90NR02766,-73.7982068922,42.4727451239,POINT (-73.7982068922 42.4727451239)
Chemung District School No. 10,Chemung,05/21/2008,08NR05857,-76.715713777,42.028719491,POINT (-76.715713777 42.028719491)
North Lyndon Schoolhouse,Cattaraugus,09/15/2000,00NR01613,-78.3542614743,42.3310294205,POINT (-78.3542614743 42.3310294205)
Public School 17,Bronx,09/27/1984,90NR00062,-73.7843580461,40.8471215127,POINT (-73.7843580461 40.8471215127)
Verdoy School,Albany,03/09/1997,96NR01099,-73.7772184249,42.7327034861,POINT (-73.7772184249 42.7327034861)
District School No. 3 at Putnam Corners,Jefferson,09/06/1990,91NR00059,-76.2378239958,44.076330137,POINT (-76.2378239958 44.076330137)
Lee School,Schuyler,05/20/1998,98NR01324,-76.8405725542,42.3283148588,POINT (-76.8405725542 42.3283148588)
Clymer District School No.5,Chautauqua,08/29/1994,94NR00677,-79.5756597445,42.0532673664,POINT (-79.5756597445 42.0532673664)
Oak Street School,Oswego,07/03/2003,02NR05042,-76.4180448184,43.3120990483,POINT (-76.4180448184 43.3120990483)
Frankfort Hill District #10 School,Herkimer,06/23/2011,11NR06211,-75.1848031837,43.03414083,POINT (-75.1848031837 43.03414083)
Niagara Falls Schools Administration Building,Niagara,12/10/2014,14NR06583,-79.0552483513,43.0927104021,POINT (-79.0552483513 43.0927104021)
Goodrich School,Albany,09/22/2000,00NR01645,-73.7455841318,42.728569673,POINT (-73.7455841318 42.728569673)
Horace Mann School,Schenectady,11/24/2015,15NR00050,-73.9376919652,42.8033644412,POINT (-73.9376919652 42.8033644412)
Drum Hill High School,Westchester,12/31/1979,90NR02497,-73.9236998944,41.2880222526,POINT (-73.9236998944 41.2880222526)
District 10 School,Delaware,02/20/1998,98NR01310,-74.6752921637,42.1223895602,POINT (-74.6752921637 42.1223895602)
Public School 157,New York,12/10/1981,90NR00935,-73.9521333662,40.8118688123,POINT (-73.9521333662 40.8118688123)
